handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_940c1e0c-1316-c33d-eb8e-83e9a4003e65,Product,John 3;16 God so loved the world Reclaimed Engraved Whiskey Barrel Head Wall Han,"<p>This barrel head with the Bible verse John 3:16 is such a beautiful verse and placed on this barrel head is so fitting in its simplicity and rustic look. It is perfectly imperfect! It measures 21"" across. It is ready to hang on any wall...anywhere.</p><p>&nbsp;</p><p>All of our items are made from used whiskey and wine barrels so they are not perfect. they have nicks, cuts, gouges, chunks missing. They are perfectly imperfect as I like to say...just like me!</p><p>&nbsp;</p><p>Shipping is free for the lower continuous 48 states, so lets get it headed your way today! We also do customizations so shoot us a line if you you have an idea! Thanks for stopping by and check out all our other great items!<br>&nbsp;</p>",112834_17b255e668e44d02b05bfbb28b08d237~mv2.jpg;112834_5fc83132d3c34fa8857ba49ad74a918e~mv2.jpg;112834_2d111c063c9f42b883342050ad173790~mv2.jpg;112834_1d73a7aacd72464a9d3433af43351683~mv2.jpg,,,New Arrival,89,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,Shipping,"<p>We offer free shipping on this purchase within the continuous 48 States. We do not ship outside this region at this time.</p>
",Returns,"<p>We do accept returns within 7 days of delivery. Purchaser is responsible for return shipping and a 25% restocking fee. Please notify us before returning.</p>

<p>Refund will be returned in the same form received.</p>
",,,,,,,,,,,,,,,
product_9ae7eff7-ed31-9dbc-9ba4-1420661b4d17,Product,Alabama Roll Tide Crimson Tide Authentic Engraved Whiskey Barrel Head Sign Ready,"<p>&nbsp; &nbsp;This is an awesome Alabama Football Barrel Head. The pictures do it no justice! &nbsp;It is an authentic whiskey barrel head which is then engraved, followed by a little hand painting and finished in poly. &nbsp;It is Football Season and what a great way to show your support. I am from the great state of Alabama so why not start with one of our great teams. I can customize to any team...just let me know!&nbsp;</p><p>&nbsp;</p><p>&nbsp; &nbsp;Shipping is free for the lower continuous 48 states, so lets get it headed your way today! We also do customizations so shoot us a line if you you have an idea! Thanks for stopping by and check out all our other great items!<br>&nbsp;</p>",112834_0e35a0d281954406ae58b7048a1574f5~mv2.jpg;112834_896df07535d04d209a5e20cf99817bd3~mv2.jpg;112834_94a45cd3017f499ba3c63294c25ee9e3~mv2.jpg;112834_89d32e0aca6543939968449484e8e498~mv2.jpg;112834_eea5e01b9a5d4fc79307b76af7d81358~mv2.jpg,,,,99,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,Shipping,"<p>We offer free shipping on this purchase within the continuous 48 States. We do not ship outside this region at this time.</p>
",Returns,"<p>We do accept returns within 7 days of delivery. Purchaser is responsible for return shipping and a 25% restocking fee. Please notify us before returning.</p>

<p>Refund will be returned in the same form received.</p>
",,,,,,,,,,,,,,,
product_b2847065-c230-f6b5-16f4-d3f5279b3966,Product,Patriotic Weathered We The People American Flag on Reclaimed Whiskey Barrel Head,"<p>&nbsp; &nbsp;This is just a gorgeous engraved American flag. It has been hand painted to add lots of character to Old Glory!&nbsp;The beauty of it is the simplicity! It has been laser engraved It would look great in any room, garage, mancave...anywhere! It is absolutely perfect with all its perfect imperfections. Shipping is free for the lower continuous 48 states, so lets get it headed your way today! We also do customizations so shoot us a line if you you have an idea! Thanks for stopping by and check out all our other great items!</p>",112834_f8e6d2da5aee4b49aed2a35d741d5cf2~mv2.jpg;112834_ae07d8db5bf94001b5978e9ea98b854d~mv2.jpg;112834_3545e0d9a6be41c4bf19557c272cdcd8~mv2.jpg;112834_00d36be3ac1b48d2a13fd1bc6305f409~mv2.jpg;112834_f7ba621ce424406497a4298b69f3868d~mv2.jpg,,,New Arrival,99,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,Returns,"<p>We do accept returns within 7 days of delivery. Purchaser is responsible for return shipping and a 25% restocking fee. Please notify us before returning.</p>

<p>Refund will be returned in the same form received.</p>
",Shipping,"<p>We offer free shipping on this purchase within the continuous 48 States. We do not ship outside this region at this time.</p>
",,,,,,,,,,,,,,,
product_a84dff0d-b969-5c17-7985-a60ea3caedea,Product,Oak Whiskey Barrel Stave Santa Tree With Barrel Head Hat,"<p>&nbsp; &nbsp;This is just an adorable little Santa Tree. He&nbsp; is constructed&nbsp;from whiskey barrel staves and his super cool hat is made from a barrel head. His belt buckle is also constructed from staves. It is one piece and does not come apart.&nbsp; He is built to last! He would be absolutely adorable either indoors or out. He measures 40"" tall and&nbsp;22"" at the widest point which is the bottom stave of the treeand is perfect with all his perfect imperfections!</p><p>&nbsp; &nbsp;All items are made from reclaimed barrels which are not perfect. They have all held whiskey for years and rolled back and forth but they are absolutely beautiful with the imperfections! Thank you for stopping by!</p>",112834_cb59a494babf48579cd3f455585996b1~mv2.jpg;112834_a9269f28dfd742f38df87646564058d3~mv2.jpg;112834_0f76e3ccbc1a4c6da9c34f34c0555059~mv2.jpg;112834_69786b02a48e403da8859741ddca005b~mv2.jpg,,,,169,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,Returns,"<p>We do accept returns within 7 days of delivery. Purchaser is responsible for return shipping and a 25% restocking fee. Please notify us before returning.</p>

<p>Refund will be returned in the same form received.</p>
",Shipping,"<p>We offer free shipping on this purchase within the continuous 48 States. We do not ship outside this region at this time.</p>
",,,,,,,,,,,,,,,
product_65e0ff22-0a90-4379-502f-480d1ad4107a,Product,Engraved Hand Painted  Rustic Whiskey Barrel Head Christmas Santa,"<p>This is a beautiful Christmas Santa engraved whiskey barrel head wall plaque. It has been laser engraved and hand painted . It comes complete, ready to hang anywhere. Family room, living room. Shop or kitchen! You won't be disappointed! It Measures approximately 21"". &nbsp;Thanks for stopping by!</p><p>&nbsp; &nbsp;</p>",112834_b94758b991834c5b85285e29441b4f9e~mv2.jpg;112834_f1ffd104c00c45aeaf7c50940946427f~mv2.jpg;112834_c6168cb812814d40b9cd8c4207bac0b4~mv2.jpg;112834_38ddd699005148518b70490ebb6834bd~mv2.jpg,,,,99,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,Shipping,"<p>&nbsp;We offer free shipping on this purchase within the continuous 48 States. We do not ship outside this region at this time.</p>
",Returns,"<p>We do accept returns within 7 days of delivery. Purchaser is responsible for return shipping and a 25% restocking fee. Please notify us before returning.</p>

<p>Refund will be returned in the same form received.</p>
",,,,,,,,,,,,,,,
product_680c9549-bf8f-62f3-d33a-7ec5c51a684e,Product,Customized Authentic Reclaimed Whiskey Barrel Head Your Name Comes ready to hang,"<p>&nbsp; &nbsp;This is a custom laser engraved authentic whiskey barrel head sign. You customize the name and date...we do the rest. It comes ready to hang and is perfect for gift giving or keeping for yourself. It would look great in a bar, man cave, babe cave. Anywhere you have a wall!&nbsp;</p><p>&nbsp;</p><p>&nbsp; &nbsp;This is for the barrelhead only, no shelf or Jack.</p><p>&nbsp;</p><p>&nbsp; &nbsp;Shipping is free within the 48 continuous states.&nbsp;</p>",112834_b29813c3fc21494a899234ce2eb58868~mv2.jpg;112834_4bea4d13c9db477e99cdd2910105ec30~mv2.jpg;112834_12908530776e466992b0878cf7b7c905~mv2.jpg;112834_131e5338b9cc40eb9ac5bbf7f90f2d6e~mv2.jpg;112834_d9d2b4505ba941a98a531d9533e2faf8~mv2.jpg,,,,99,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,Shipping,"<p>We offer free shipping on this purchase within the continuous 48 States. We do not ship outside this region at this time.</p>
",Returns,"<p>Returns are not accepted on this item as it is customized.&nbsp;</p>
",,,,,,,,,What would you like engraved? Name(s) and Date,30,TRUE,,,,
product_df8991a1-6ac0-4c2f-8ec0-6561dc0e99b0,Product,Harley Willie G Skull Reclaimed Engraved Whiskey Bourbon Barrel Head,"<p>&nbsp; &nbsp;This is a fantastic Harley Davidson Willie G engraved Barrel head wall plaque. It has been laser engraved. it come complete, ready to hang anywhere. Man cave or babe cave. Shop or kitchen! you won't be disappointed! It Measures approximately 21"".&nbsp; Sorry...it is for the barrelhead only, no shelf or Jack. Thanks for stopping by!</p>",112834_0bffb741fef34b83af36c34e35ef49b0~mv2.jpg;112834_07ddb2f810e94119bc093a26ec9be02b~mv2.jpg;112834_2974bb46ed5c4ddfa61e05dd92a24084~mv2.jpg;112834_2f507f3a903d4638a8f21d054a3ddb17~mv2.jpg,,,,89,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,Returns,"<p>&nbsp;We do accept returns within 7 days of delivery. Purchaser is responsible for return shipping and a 25% restocking fee. Please notify us before returning.</p>

<p>Refund will be returned in the same form received.</p>
",Shipping,"<p>We offer free shipping on this purchase within the continuous 48 States. We do not ship outside this region at this time.</p>
",,,,,,,,,,,,,,,
product_6c570fb7-3f2c-7f9d-353d-a190e5cecc47,Product,Harley Davidson Reclaimed Engraved Whiskey BarrelHead  Ready to Hang,"<p>This is a&nbsp;Harley Davidson Barrel Head .&nbsp; The beauty of it is the simplicity! It has been laser engraved&nbsp; It would look great in any Harley enthusiast'&nbsp; shop, garage, mancave...anywhere! It is absolutely perfect with all its perfect imperfections. Shipping is free for the lower continuous 48 states, so lets get it headed your way today!&nbsp; We also do customizations so shoot us&nbsp; a line if you you have an idea! Thanks for stopping by!</p>",112834_de33ec4d01c6477b9ede0782ce75a97e~mv2.jpg;112834_e7648fc3613248959ba495e591cdd3cc~mv2.jpg;112834_bee090b7df8d45918a097711d9d53681~mv2.png;112834_755c4ef3401a4eedaaa0f036b81df7a4~mv2.jpg,,,,89,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,Returns,"<p>We do accept returns within 7 days of delivery. Purchaser is responsible for return shipping and a 25% restocking fee. Please notify us before returning.</p>

<p>Refund will be returned in the same form received.</p>
",Shipping,"<p>We offer free shipping on this purchase within the continuous 48 States. We do not ship outside this region at this time.</p>
",,,,,,,,,,,,,,,
product_ac37c17e-8ca1-5446-de59-3fdb372ec1f0,Product,Reclaimed Wine Barrel Jesus Christ Crucifixion Double Stave Cross,"<p>&nbsp; &nbsp;This is a gorgeous representation of Jesus Christ on the Cross. It has the the red wine stained staves which the wine cork Jesus has been adheard to and has the wine barrel nails which are used in his hands and feet. He is then mounted to another wine stave turned the opposite way to really bring out the beauty and simplicity in the piece.&nbsp;</p><p>&nbsp;</p><p>&nbsp; &nbsp; The piece as a whole measures approximately 28"" long&nbsp;x 15.5"" at arms x 3.5"" wide on back stave.&nbsp;</p><p>&nbsp;</p><p>&nbsp; &nbsp; Please ask any questions as I do answer asap! Thank you for stopping by!</p><p>&nbsp;</p>",112834_046646a1526249408f78f7b22f988cc4~mv2.jpg;112834_4f1d7e0e4e724062b49d17d28e7cf1bd~mv2.jpg;112834_d990cd92dcab460e87627082cc34886d~mv2.jpg;112834_2f51d4dab7af435295ae797145a5f2c5~mv2.jpg;112834_3b61a42fec7846cdb5eefc6a54905796~mv2.jpg;112834_1afd63e6162d471aae077a1798369d28~mv2.jpg;112834_6c90a61f5d334d6995dd6918a089a792~mv2.jpg;112834_2d9e9bcd8492438d84d1671d57a417c3~mv2.jpg,,,,109,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,Returns,"<p>&nbsp;We do accept returns within 7 days of delivery. Purchaser is responsible for return shipping and a 25% restocking fee. Please notify us before returning.</p>

<p>Refund will be returned in the same form received.</p>
",Shipping,"<p>We offer free shipping on this purchase within the continuous 48 States.</p>
",,,,,,,,,,,,,,,
product_8d7cc386-129d-2f5c-6764-ed06e00a50b1,Product,Reclaimed Bourbon Barrel Head Top Harley Davidson Wall Hanging,"<p>&nbsp; &nbsp; This is an awesome Harley Davidson Barrel Head with barrel ring.&nbsp; The beauty of it is the simplicity!&nbsp; It would look great in any Harley enthusiast'&nbsp; shop, garage, mancave...anywhere! It is absolutely perfect with all its perfect imperfections. Shipping is free for the lower continuous 48 states, so lets get it headed your way today! Thanks for stopping by!</p>",112834_95622c4a54e44b4798665c8ff060336f~mv2.jpg;112834_3b33d40e2866498d87fd59597b395fce~mv2.jpg;112834_e355d63055ea4fcf99c6b95afc31aa7b~mv2.jpg;112834_f4425e371a514383a335ff70d6c094e8~mv2.jpg;112834_cafcc2cb84aa45bebe420153928bb86c~mv2.jpg,,,,169,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,Return and Refund Policy,"<p>&nbsp;We do accept returns within 7 days of delivery. Purchaser is responsible for return shipping and a 25% restocking fee. Please notify us before returning.</p>

<p>Refund will be returned in the same form received.</p>
",Shipping,"<p>We offer free shipping on this purchase within the continuous 48 States. We do not ship outside this region at this time.</p>
",,,,,,,,,,,,,,,
product_0c81b2f3-5691-e0f0-ae29-e73a5dfefa33,Product,Authentic Wine Barrel Head Checkerboard  Chess Game Set,"<p>This is a lovely &nbsp;handcrafted Checker/Chess&nbsp; Board game. It is made from a reclaimed wine barrel. The industrial handles make it convenient to move from room to room. You have a choice of finishes. This particular one is finished in Golden Oak. The checkerboard is hand painted and the checkers were hand painted/stained. All pieces were then poly coated. Checkers are included. &nbsp;It measures approximately 24"" across at the widest point and approximately 2.5"" tall. The bottom of my boards are as beautiful as the tops! &nbsp;I have also applied felt feet on the bottom of the barrelhead to ensure no scuffing of furniture.&nbsp;</p><p>&nbsp; &nbsp;Each game board will vary in characteristics as each barrel is different with its perfect imperfections.</p><p>&nbsp; &nbsp;Each gameboard is custom made so please allow 7 business days to create before shipment.</p>",112834_d8104e7e55014e0c81c3625d922a4571~mv2.jpg;112834_574b8f8a5b614b648e238048dffe63d0~mv2.jpg;112834_00b05f4765bd4b94a7bdd994d34900be~mv2.jpg,,,New Arrival,199,,TRUE,PERCENT,0,2,24,Color,COLOR,#000000:Natural;#000000:Golden Oak;#000000:Dark Walnut,,,,,,,,,,,,,,,,Product care,"<p>This gameboard can be wiped down with a dry or damp cloth to keep it looking beautiful.&nbsp;</p>
",Returns,"<p>We do accept returns within 7 days of delivery. Purchaser is responsible for return shipping and a 25% restocking fee. Please notify us before returning.</p>

<p>Refund will be returned in the same form received.</p>
",Shipping,"<p>We offer free shipping on this purchase within the continuous 48 States.</p>
",,,,,,,,,,,,,
product_df19c1f7-07d8-a265-42f8-e8dfa824cc6e,Product,Wild Turkey Bourbon Whiskey Barrel Head Clock -  Ready to Hang,"<p>&nbsp; &nbsp;This&nbsp; is an awesome Authentic Kentucky Bourbon Barrel Head Clock The barrel head is made from 100% American White Oak. It has been laser engraved with the Wild Turkey logo and the numbers have been set with a traditional fire&nbsp;branding iron. It is truely a beautiful rustic piece of art! The barrel head is approximately 22"" in diameter. The clock mechanism takes one AA size battery. The barrel head is natural color with a simple coat of poly.</p><p>&nbsp;</p><p>&nbsp; &nbsp; We also do custom work...just let us know what you have in mind and I am sure we can craft something you will enjoy for many years to come!</p><p>&nbsp; &nbsp;</p><p>&nbsp;Shipping will be free in the lower 48 states.. If you are out of the region, just let me know in advance and I will try my best to accommodate your request. &nbsp;Thanks for stopping b</p>",112834_9ec54c56fc3244bd8c1a909bb144b9e4~mv2.jpg;112834_5720a97431cc451da77c4e7ad3074aff~mv2.jpg;112834_288ab6cd0da744ab9da1a0da88b6a23f~mv2.jpg,,,,159,,TRUE,PERCENT,0,1,0,,,,,,,,,,,,,,,,,,,RETURN & REFUND POLICY,"<p>&nbsp;We do accept returns within 7 days of delivery. Purchaser is responsible for return shipping and a 25% restocking fee. Please notify us before returning.</p>

<p>Refund will be returned in the same form received.</p>
",SHIPPING INFO,"<p>We offer free shipping on this purchase within the continuous 48 States.</p>
",,,,,,,,,Add gift card message here,150,FALSE,,,,
